character,description
BS,backspace
HT,horizontal tab
DEL,delete
ESC,escape
SP,space
CR,start of line
LF,end of line
a,lowercase a
b,lowercase b
c,lowercase c
d,lowercase d
e,lowercase e
f,lowercase f
g,lowercase g
h,lowercase h
i,lowercase i
j,lowercase j
k,lowercase k
l,lowercase l
m,lowercase m
n,lowercase n
o,lowercase o
p,lowercase p
q,lowercase q
r,lowercase r
s,lowercase s
t,lowercase t
u,lowercase u
v,lowercase v
w,lowercase w
x,lowercase x
y,lowercase y
z,lowercase z
à,latin small letter a with grave
è,latin small letter e with grave
é,latin small letter e with acute
ì,latin small letter i with grave
ò,latin small letter o with grave
ù,latin small letter u with grave
A,uppercase a
B,uppercase b
C,uppercase c
D,uppercase d
E,uppercase e
F,uppercase f
G,uppercase g
H,uppercase h
I,uppercase i
J,uppercase j
K,uppercase k
L,uppercase l
M,uppercase m
N,uppercase n
O,uppercase o
P,uppercase p
Q,uppercase q
R,uppercase r
S,uppercase s
T,uppercase t
U,uppercase u
V,uppercase v
W,uppercase w
X,uppercase x
Y,uppercase y
Z,uppercase z
À,latin capital letter a with grave
È,latin capital letter e with grave
É,latin capital letter e with acute
Ì,latin capital letter i with grave
Ò,latin capital letter o with grave
Ù,latin capital letter u with grave
0,zero
1,one
2,two
3,three
4,four
5,five
6,six
7,seven
8,eight
9,nine
\|,vertical bar
\,backslash
!,exclamation mark!
"""",Double quotes
€,euro
$,dollar
%,per cent
&,ampersand
/,slash
',single quote
?,question mark
^,caret
~,tilde
\#,hashtag
§,section
°,degree
@,at
.,period
:,colon
",",comma
;,semicolon
<,less than
>,greater than
«,left double angle quotes
»,right double angle quotes
=,equals
-,hyphen
_,underscore
+,plus
*,asterisk
(,open parenthesis
),close parenthesis
[,opening bracket
],closing bracket
{,opening brace
},closing brace
f1,function 1
f2,function 2
f3,function 3
f4,function 4
f5,function 5
f6,function 6
f7,function 7
f8,function 8
f9,function 9
f10,function 10
f11,function 11
f12,function 12
___,stop/start audio track
___,next audio track
___,previous audio track
___,volume up
___,volume down
___,rgb on/off
___,rgb next
___,rgb previous
___,rgb bright+
___,rgb bright-
___,rgb mode+
___,rgb mode-
___,rgb hue+
___,rgb hue-